[2022-12-04 18:38:38,880: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:38:48,921: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:38:58,968: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:39:08,992: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:39:19,022: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:39:29,059: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:39:39,130: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:39:49,194: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:39:59,235: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:40:09,268: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:40:19,330: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:40:29,370: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:40:39,410: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:40:49,485: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:40:59,523: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:41:09,584: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:41:19,657: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:41:29,686: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:41:39,784: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:41:49,808: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:41:59,861: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:42:09,899: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:42:19,942: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:42:29,971: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:42:40,014: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
